id,source,url,claim_ko,gold_verdict,verdict_source_quote,collected_at,notes
# 수동 큐레이션 gold set — 2026-04-24 spike (Phase 1)
# Codex 권고: 8~10건. 현재 6건 자동 추출, 사용자 검수 후 2~4건 수동 추가 예정
# gold_verdict 값: 사실 | 대체로_사실 | 절반의_사실 | 대체로_거짓 | 거짓 | 판단_보류
# verdict_source_quote: 원 기사 본문에서 판정을 뒷받침하는 문장 (쉼표는 세미콜론으로 치환)
G-01,newstop,https://www.newstopkorea.com/news/articleView.html?idxno=44367,"배우 전종서가 하루 5리터 물을 마시면 건강이 좋아지고 기존 질병이 많이 사라진다고 주장했다",판단_보류,"일일 권장량은 소스별로 2.2~3.7L로 다르며 5리터가 모두에게 적절한지와 질병 개선의 인과는 추가 과학적 검증이 필요하다",2026-04-14,송영훈 기자
G-02,newstop,https://www.newstopkorea.com/news/articleView.html?idxno=44264,"한국 VC(벤처캐피털) 신규 설립이 매년 늘고 있다",거짓,"2023년 19곳 2024년 10곳 2025년 7곳이 신규 등록하는 데 그쳤다 — 신규 VC는 감소 추세",2026-04-06,최양해 기자
G-03,newstop,https://www.newstopkorea.com/news/articleView.html?idxno=44215,"올해 상장폐지 위기 기업이 200곳을 넘는다",대체로_거짓,"한국거래소 시뮬레이션에서 220곳이 산정됐지만 실질적으로 상장폐지 위기에 놓인 기업 수는 63곳(의견거절 29 + 감사보고서 미제출 34)",2026-04-02,김은정 기자
G-04,newstop,https://www.newstopkorea.com/news/articleView.html?idxno=44490,"올해 6월 역대급 장마로 한 달 내내 비가 내린다",거짓,"기상청 공식 발표가 아니며 평균 장마기간은 32일 중 실제 강수일은 17~18일",2026-04-20,송영훈 기자
G-05,sbs,https://news.sbs.co.kr/news/endPage.do?news_id=N1008516584,"미군이 양자기술로 64km 떨어진 이란 조종사의 심장박동을 탐지했다",거짓,"양자 센싱 전문가 인용 '현존 가장 정밀한 센서로 약 1m 거리에서 측정 가능' + Scientific American: 1km에서 신호가 1조분의 1로 약해짐",2026-04-13,정구희 기자
G-06,sbs,https://news.sbs.co.kr/news/endPage.do?news_id=N1008493548,"BTS 광화문 공연에 10만 명이 모였다",절반의_사실,"생활인구 데이터 격자 범위에 따라 7만(14격자)~10만 7천(24격자) 편차; 공식 행사 구역 기준 7만명",2026-03-26,배여운 기자
G-07,newstop,https://www.newstopkorea.com/news/articleView.html?idxno=43448,"이뇨 작용이 뛰어나 부기 완화에 좋다는 호박은 우리가 아는 호박(채소)이 아니다",대체로_사실,"동의보감에서 언급한 호박은 채소 호박이 아니라 화석 호박(琥珀)이 맞습니다; 야채 호박의 칼륨이 이뇨작용에 큰 도움이 되는 것도 사실입니다",2026-02-26,송영훈 기자 — 건강 분야
G-08,newstop,https://www.newstopkorea.com/news/articleView.html?idxno=43378,"의약품 종류에 따라 폐기 방법이 다르다",사실,"가루약은 약포장지 그대로 분리배출; 캡슐약은 캡슐 제거 후 내용물만; 알약은 포장재 제거 후 밀봉 분리배출",2026-02-24,송영훈 기자 — 사회/환경 분야
G-09,newstop,https://www.newstopkorea.com/news/articleView.html?idxno=43081,"설탕에 세금을 부과하는 것은 세계적 추세다",사실,"WHO 2025 글로벌 보고서 기준 전 세계 설탕세 도입국가 116개국; 1922년 노르웨이 시작 + 2010년대 본격화",2026-02-11,송영훈 기자 — 사회/경제 분야
# 라벨 분포: 사실 2 / 대체로_사실 1 / 절반의_사실 1 / 대체로_거짓 1 / 거짓 3 / 판단_보류 1 = 6 labels all covered
# N=9 (Codex 권장 8~10 부합)
